case,seed,controller,cycles,start_cycle,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate,waiting_per_admitted,qubo_energy,plan_I1,plan_I2,plan_I3,plan_I4,plan_I5,plan_I6,one_hot_valid
ew_heavy,4,adaptive,60,30,6487.4179535564945,54.4081664875856,6472.908957333399,6472.908957333399,854034.8487716444,9.884662601523662,40.0,91.6009775026534,0.0,6541.82612004408,17335.80565897777,175.60011075814677,0.6638888888888889,0.2916666666666667,0.044444444444444446,237,0.6694915254237288,131.64480150434125,,,,,,,,
ew_heavy,4,qubo_static,60,30,5787.177821012566,754.6482990315149,5787.908957333399,5787.908957333399,813237.2385245677,9.412468038478792,40.0,96.3608449587241,0.0,6541.82612004408,15176.670584860707,155.60011075814677,0.0,1.0,0.0,0,0.0,140.52397622409293,13457.441849539173,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
ew_heavy,4,qubo_receding,60,30,5787.177821012566,754.6482990315149,5787.908957333399,5787.908957333399,813237.2385245677,9.412468038478792,40.0,96.3608449587241,0.0,6541.82612004408,15176.670584860707,155.60011075814677,0.0,1.0,0.0,0,0.0,140.52397622409293,13644.758212907476,,,,,,,
time_varying,0,fixed,60,30,6593.670362728976,246.32295796631746,6627.100110906855,6627.100110906855,692184.1418764826,8.011390530977808,40.0,100.0,0.0,6839.993320695294,16482.610601428845,156.5127318255372,0.0,1.0,0.0,0,0.0,104.9770619091129,,,,,,,,
time_varying,0,adaptive,60,30,6835.2496015763445,4.74371911894896,6846.823559213288,6846.823559213288,675666.2003049868,7.820210651678088,40.0,111.85579054093489,0.0,6839.993320695294,17222.17088662945,166.5127318255372,0.44722222222222224,0.28055555555555556,0.2722222222222222,289,0.8163841807909604,98.85026000355053,,,,,,,,
time_varying,0,qubo_static,60,30,6593.670362728976,246.32295796631746,6627.100110906855,6627.100110906855,692184.1418764826,8.011390530977808,40.0,100.0,0.0,6839.993320695294,16482.610601428845,156.5127318255372,0.0,1.0,0.0,0,0.0,104.9770619091129,15648.055140836834,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
time_varying,0,qubo_receding,60,30,6593.670362728976,246.32295796631746,6627.100110906855,6627.100110906855,692184.1418764826,8.011390530977808,40.0,100.0,0.0,6839.993320695294,16482.610601428845,156.5127318255372,0.0,1.0,0.0,0,0.0,104.9770619091129,10422.567688400874,,,,,,,
time_varying,1,fixed,60,30,6545.795327263639,233.34947570820046,6578.350796229671,6578.350796229671,666398.5800048386,7.712946527833781,40.0,100.0,0.0,6779.144802971839,16334.169980831952,156.2792293228369,0.0,1.0,0.0,0,0.0,101.80559377242483,,,,,,,,
time_varying,1,adaptive,60,30,6773.3759495938975,5.768853377942122,6804.382302450573,6804.382302450573,666669.3050188144,7.716079919199241,40.0,89.07171069272059,0.0,6779.144802971839,17092.219310327928,168.75663473947267,0.44722222222222224,0.2777777777777778,0.275,255,0.7203389830508474,98.4249671035586,,,,,,,,
time_varying,1,qubo_static,60,30,6545.795327263639,233.34947570820046,6578.350796229671,6578.350796229671,666398.5800048386,7.712946527833781,40.0,100.0,0.0,6779.144802971839,16334.169980831952,156.2792293228369,0.0,1.0,0.0,0,0.0,101.80559377242483,15616.535835258539,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,NS30/EW30,True
