scenario,seed,controller,cycles,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate
ns_heavy,3,fixed,120,13827.495140577015,1964.3885120779557,13538.807997452584,6769.403998726292,1932932.320848272,11.185950930834908,40.0,150.0,0.0,15791.883652654971,30071.721245142457,138.68714312443092,0.0,1.0,0.0,0,0.0
ns_heavy,3,adaptive,120,15778.389948646247,13.493704008723427,15555.346980279173,7777.673490139587,1493158.99498144,8.640966406142592,40.0,74.35582524264287,0.0,15791.883652654971,34138.204440893765,148.68714312443092,0.05,0.30416666666666664,0.6458333333333334,483,0.6764705882352942
ns_heavy,3,adaptive_dwell2,120,15665.86440773547,126.01924491950096,15412.000026803264,7706.000013401632,1824011.194233491,10.55562033699937,40.0,95.17723780777587,0.0,15791.883652654971,33867.68177899245,158.68714312443092,0.07222222222222222,0.30833333333333335,0.6194444444444445,260,0.3641456582633053
ns_heavy,4,fixed,120,13837.345984184163,2078.0293473736156,13549.508770029035,6774.7543850145175,1942208.6356291953,11.239633308039325,40.0,150.0,0.0,15915.37533155778,30100.392189773193,137.83721415512838,0.0,1.0,0.0,0,0.0
ns_heavy,4,adaptive,120,15909.588006394808,5.787325162970859,15695.053755816125,7847.5268779080625,1488157.6828383324,8.612023627536646,40.0,68.05686468876578,0.0,15915.37533155778,34423.3211558818,146.477385889917,0.022222222222222223,0.31527777777777777,0.6625,464,0.6498599439775911
ns_heavy,4,adaptive_dwell2,120,15780.68514933516,134.69018222261894,15473.866569282567,7736.9332846412835,1733951.602847785,10.034442146109868,40.0,158.9813658974648,0.0,15915.37533155778,34004.10778828026,147.83721415512838,0.044444444444444446,0.34444444444444444,0.6111111111111112,269,0.37675070028011204
ew_heavy,0,fixed,120,11625.120853146405,1348.5055601991646,11368.138487512024,5684.069243756012,1593399.2238101743,9.221060322975546,40.0,98.22995340048337,0.0,12973.62641334557,30033.6781359777,158.75241223389918,0.0,1.0,0.0,0,0.0
ew_heavy,0,adaptive,120,12929.219468164834,44.40694518073644,12645.778294458894,6322.889147229447,1620933.2515202416,9.38040076111251,40.0,99.68876147204097,0.0,12973.62641334557,33956.59755681831,183.75241223389918,0.6361111111111111,0.2875,0.0763888888888889,498,0.6974789915966386
ew_heavy,0,adaptive_dwell2,120,12241.580701577404,732.0457117681657,11921.404885463035,5960.702442731517,2016344.2406080274,11.668658799814974,40.0,161.42340388047072,37.464923455267,12973.62641334557,31783.477329830737,158.75241223389918,0.5291666666666667,0.20833333333333334,0.2625,324,0.453781512605042
ew_heavy,1,fixed,120,11625.421114973908,1183.2769867695904,11370.73186876037,5685.365934380185,1585755.3196087962,9.176824766254608,40.0,97.92553280405569,0.0,12808.698101743497,30037.51944937972,156.7637134094818,0.0,1.0,0.0,0,0.0
ew_heavy,1,adaptive,120,12772.473657066615,36.22444467688281,12501.510784378574,6250.755392189287,1613519.5288888603,9.337497273662386,40.0,99.19915927856044,0.0,12808.698101743497,33524.47333509501,171.7637134094818,0.5972222222222222,0.3125,0.09027777777777778,551,0.7717086834733894
ew_heavy,1,adaptive_dwell2,120,11701.264898067258,1107.4332036762387,11372.04241048984,5686.02120524492,2036885.3670681329,11.787531059422065,40.0,172.45877416793815,11.401180649735984,12808.698101743497,30141.45107456813,156.7637134094818,0.4875,0.059722222222222225,0.4527777777777778,350,0.49019607843137253
ew_heavy,2,fixed,120,11593.00103970517,1310.553688616853,11339.97238275432,5669.98619137716,1594290.397471707,9.226217577961268,40.0,99.40290958090864,0.0,12903.554728322022,29972.897756357797,153.62574736994034,0.0,1.0,0.0,0,0.0
ew_heavy,2,adaptive,120,12823.78842346904,79.76630485298277,12557.30446526705,6278.652232633525,1638599.5175713776,9.482636097056583,40.0,87.85821083204905,0.0,12903.554728322022,33698.55271560216,178.62574736994034,0.6083333333333333,0.3277777777777778,0.06388888888888888,544,0.7619047619047619
ew_heavy,2,adaptive_dwell2,120,12106.012998604274,797.5417297177486,11779.97238275432,5889.98619137716,2043299.001467556,11.824646999233542,40.0,162.41486848001298,75.0,12903.554728322022,31410.215404520837,163.62574736994034,0.5083333333333333,0.21805555555555556,0.27361111111111114,337,0.47198879551820727
